player_name,Unnamed: 0,age,player_height,player_weight,gp,pts_media_carrera,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,pts_22_23
Mo Bamba,11354.75,22.5,213.36,103.645772,56.5,7.55,5.95,0.875,-9.225,0.08524999999999999,0.22075,0.17925,0.5547500000000001,0.07949999999999997,6.6
Monte Morris,11021.2,25.0,188.976,81.5558416,56.0,9.1,2.0,3.4,0.49999999999999983,0.010599999999999981,0.0766,0.1612,0.6012000000000001,0.23619999999999997,10.3
Montrezl Harrell,10455.57142857143,25.0,202.11142857142858,108.86208,65.42857142857143,12.214285714285714,5.057142857142857,1.3285714285714287,3.3428571428571425,0.08671428571428572,0.14399999999999996,0.20399999999999996,0.6452857142857144,0.09985714285714284,5.6
Moritz Wagner,11358.5,23.5,210.82,111.13004,49.0,7.35,3.45,1.075,-7.275,0.043499999999999976,0.17074999999999996,0.19774999999999998,0.5934999999999999,0.1105,10.5
Moses Brown,11607.333333333334,21.0,218.43999999999997,111.13004,30.666666666666668,4.699999999999999,4.633333333333334,0.10000000000000002,-25.133333333333336,0.10866666666666668,0.27299999999999996,0.18533333333333332,0.5303333333333334,0.023333333333333334,4.3
Moses Moody,12041.0,20.0,195.58,95.707912,52.0,4.4,1.5,0.4,-4.0,0.0279999999999999,0.098,0.148,0.573,0.0559999999999999,4.8
Myles Turner,10456.285714285714,23.0,210.82,112.81481028571429,61.57142857142857,12.62857142857143,6.6571428571428575,1.157142857142857,1.3,0.05142857142857143,0.18328571428571427,0.18942857142857136,0.5757142857142857,0.06085714285714285,18.0
Naji Marshall,11846.5,23.5,200.66,99.79024,43.5,6.7,3.5999999999999996,1.95,-1.85,0.0335,0.16199999999999998,0.17849999999999994,0.5065,0.14550000000000002,9.1
Nassir Little,11614.666666666666,21.0,195.58,99.79024,46.0,6.0,3.533333333333333,0.7666666666666666,-2.1,0.048666666666666664,0.14066666666666666,0.14033333333333334,0.5563333333333333,0.057666666666666665,6.6
Nathan Knight,11858.0,23.5,208.28,114.758776,35.0,3.75,2.25,0.4,-0.34999999999999987,0.10350000000000001,0.16449999999999998,0.20500000000000002,0.5509999999999999,0.08549999999999999,3.7
Naz Reid,11615.333333333334,21.0,205.74,119.748288,59.0,9.5,4.2,1.0333333333333334,-3.8000000000000003,0.06266666666666666,0.17,0.2203333333333333,0.564,0.09499999999999999,11.5
Neemias Queta,12051.0,22.0,213.36,112.490816,15.0,3.0,2.1,0.4,-4.1,0.104,0.144,0.176,0.495,0.076,2.4
Nerlens Noel,10174.75,24.5,210.5025,101.151016,56.25,6.8625,6.0875,1.0375,-5.1625,0.09049999999999998,0.19999999999999998,0.13974999999999996,0.594375,0.07512499999999998,2.1
Nic Claxton,12039.0,23.0,210.82,97.52228,47.0,8.7,5.6,0.9,-0.4,0.098,0.157,0.15,0.672,0.066,12.6
Nick Richards,11846.0,23.5,213.36,111.13004,34.0,1.9,1.15,0.2,-11.75,0.07099999999999995,0.11649999999999995,0.129,0.6155,0.054,8.2
Nickeil Alexander-Walker,11613.0,22.0,196.42666666666665,92.98636,52.666666666666664,9.1,2.6,2.1666666666666665,-3.3333333333333335,0.017,0.11733333333333333,0.23266666666666666,0.49,0.17766666666666667,6.2
